sector,dep_var,model_type,feature,importance
Creative Industries,lq_bus,regression,anxiety,0.0011008719633823565
Creative Industries,lq_bus,regression,net_additions,0.001418428636123572
Creative Industries,lq_bus,regression,related_variety,0.012027391673676422
Creative Industries,lq_bus,regression,size_large_share,0.0
Creative Industries,lq_bus,regression,size_micro_share,0.0036088146724822445
Creative Industries,lq_bus,regression,public_transport_to_employer,0.09334804560842663
Creative Industries,lq_bus,regression,drive_to_employer,0.010402628434873924
Creative Industries,lq_bus,regression,cycle_to_employer,0.04842306599558819
Creative Industries,cagr_emp,regression,new_enterprises,0.023505979316865048
Creative Industries,cagr_emp,regression,deaths_of_enterprises,0.031402900852166606
Creative Industries,cagr_emp,regression,active_enterprises,0.042185929544525075
Creative Industries,cagr_emp,regression,high_growth_enterprises,0.036195143771029455
Creative Industries,cagr_emp,regression,broadband_availability,0.022129231249122146
Creative Industries,cagr_emp,regression,4g_area_coverage,0.013062500297215842
Creative Industries,cagr_emp,regression,gcse_by_age_19,0.024202251088258728
Creative Industries,cagr_emp,regression,early_years_comms,0.018519884937575358
Creative Industries,cagr_emp,regression,early_years_literacy,0.029782715773081996
Creative Industries,cagr_emp,regression,early_years_maths,0.02397152948920858
Creative Industries,cagr_emp,regression,apprenticeship_starts,0.03608004690476554
Creative Industries,cagr_emp,regression,apprenticeship_achievements,0.019044201649919296
Creative Industries,cagr_emp,regression,level_3+_qualifications,0.03760600957355742
Creative Industries,cagr_emp,regression,fe_and_skills_participation,0.0428289364821375
Creative Industries,cagr_emp,regression,smokers,0.03539033788311758
Creative Industries,cagr_emp,regression,reception_obesity,0.0051168478994335536
Creative Industries,cagr_emp,regression,year_6_obesity,0.015337256116935096
Creative Industries,cagr_emp,regression,adult_obesity,0.03595207442103665
Creative Industries,cagr_emp,regression,cancer_diagnosis,0.025165757417392586
Creative Industries,cagr_emp,regression,under_75_mortality_rate,0.017719631883873672
Creative Industries,cagr_emp,regression,life_satisfaction,0.023031490501253787
Creative Industries,cagr_emp,regression,worthwhile,0.012070967932354414
Creative Industries,cagr_emp,regression,happiness,0.038853946625489445
Creative Industries,cagr_emp,regression,anxiety,0.024629185523731563
Creative Industries,cagr_emp,regression,net_additions,0.047961125867862886
Creative Industries,cagr_emp,regression,related_variety,0.07679470074508053
Creative Industries,cagr_emp,regression,size_large_share,0.03831079007919611
Creative Industries,cagr_emp,regression,size_micro_share,0.11143426300923112
